j2_directory	ansatz_directory	j2	D	staged_filename	original_relative_path	sha256
J2_0p22	neel_symmetrized	0.22	9	tensor_best__neel_symmetrized__J2_0p22__D_9.pt	D345678910/neel_symmetrized__J2_0p22_20260525_D45678/sweep_D9_chi126_best.pt	8f7d38bd2c81540cb4c492323aed4e0ea51951473a073809b32195cedcb1ed54
J2_0p235	neel_symmetrized	0.235	5	tensor_best__neel_symmetrized__J2_0p235__D_5.pt	D345678910/neel_symmetrized__J2_0p235_20260525_D45678/sweep_D5_chi80_best.pt	9c789128962f9cbdfb6138a140804b2ea1fe7f379202af1b39093b9ea6341bb0
J2_0p24	neel_symmetrized	0.24	8	tensor_best__neel_symmetrized__J2_0p24__D_8.pt	D345678910/neel_symmetrized__J2_0p24_20260522_D45678/sweep_D8_chi128_best.pt	443178a63f97c40b5c4f8a61dfedae2d24cd110dbfd18273a24a9cd1b1542dbb
J2_0p245	neel_symmetrized	0.245	6	tensor_best__neel_symmetrized__J2_0p245__D_6.pt	D345678910/neel_symmetrized__J2_0p245_20260618_D678910/sweep_D6_chi96_best.pt	4c5ec6759670386f809fda30ea3a83e62e44bd2afa4f547eeb0ff45d36f5d2c8
J2_0p25	neel_symmetrized	0.25	6	tensor_best__neel_symmetrized__J2_0p25__D_6.pt	D345678910/neel_symmetrized__J2_0p25_20260522_D45678/sweep_D6_chi102_best.pt	013d85ccec9ba1cbf669da6aedcca13151c081d9ca8d69cb614f2d09038527d8
J2_0p255	neel_symmetrized	0.255	7	tensor_best__neel_symmetrized__J2_0p255__D_7.pt	D345678910/neel_symmetrized__J2_0p255_20260618_D678910/sweep_D7_chi105_best.pt	eb9f6a71294815881ca6069af8b0ff35a141ce63cf86bd12a54e49f6874e5c2d
J2_0p26	neel_symmetrized	0.26	8	tensor_best__neel_symmetrized__J2_0p26__D_8.pt	D345678910/neel_symmetrized__J2_0p26_20260510_182106_20260516_113317_D456/sweep_D8_chi120_best.pt	d0099611b8ff597abaeb1c06a86f94f6997189ecef3428130250a82103a3a730
J2_0p265	neel_symmetrized	0.265	6	tensor_best__neel_symmetrized__J2_0p265__D_6.pt	D345678910/neel_symmetrized__J2_0p265_20260510_184040_20260516_114158_D456/sweep_D6_chi96_best.pt	ce8f936446fd6c31c185b8b79a39dd44439afe71c8f8028c89c8d8483d0a9435
J2_0p265	neel_symmetrized	0.265	8	tensor_best__neel_symmetrized__J2_0p265__D_8.pt	D345678910/neel_symmetrized__J2_0p265_20260510_184040_20260516_114158_D456/sweep_D8_chi120_best.pt	0eb2705aa45b030ab54cdc1c935bee47553babffb830c17305a43f01b18fb7c4
J2_0p27	neel_symmetrized	0.27	5	tensor_best__neel_symmetrized__J2_0p27__D_5.pt	D345678910/neel_symmetrized__J2_0p27_20260510_183359_20260517_030958_D456/sweep_D5_chi80_best.pt	ba534e35dfad9894af576a17ec337126fdf50ad892392800b5b49961d1acf25a
J2_0p27	neel_symmetrized	0.27	7	tensor_best__neel_symmetrized__J2_0p27__D_7.pt	D345678910/neel_symmetrized__J2_0p27_20260510_183359_20260517_030958_D456/sweep_D7_chi105_best.pt	2e33cf5bd077bb4dfd618428dba629c0bb010449df74bc242b0c67011009dd0d
J2_0p27	neel_symmetrized	0.27	8	tensor_best__neel_symmetrized__J2_0p27__D_8.pt	D345678910/neel_symmetrized__J2_0p27_20260510_183359_20260517_030958_D456/sweep_D8_chi112_best.pt	29d54b946f62cd410d6b0bce17a47fe07e699aec4c26d3a25cf0dc89f82c5c36
J2_0p275	neel_symmetrized	0.275	6	tensor_best__neel_symmetrized__J2_0p275__D_6.pt	D345678910/neel_symmetrized__J2_0p275_20260510_192557_20260516_131308_D456/sweep_D6_chi102_best.pt	ebce994fdf6d83a5c84a05e7d373275769e525a8acdf9da70ee3efdf1bc40583
J2_0p275	neel_symmetrized	0.275	8	tensor_best__neel_symmetrized__J2_0p275__D_8.pt	D345678910/neel_symmetrized__J2_0p275_20260510_192557_20260516_131308_D456/sweep_D8_chi120_best.pt	5cf8a7ecd92807dc30c2d216b938fc33c18507841b2f5c7ad672826bce67a551
J2_0p28	neel_symmetrized	0.28	4	tensor_best__neel_symmetrized__J2_0p28__D_4.pt	D345678910/neel_symmetrized__J2_0p28_20260512_020019_20260516_131551_20260518_021013_D456/sweep_D4_chi64_best.pt	2d019b7dc4716bcc09940aae977c27aab3a9f4868ab1a7e6b7b7b5774792b13c
J2_0p28	neel_symmetrized	0.28	5	tensor_best__neel_symmetrized__J2_0p28__D_5.pt	D345678910/neel_symmetrized__J2_0p28_20260512_020019_20260516_131551_20260518_021013_D456/sweep_D5_chi80_best.pt	40963ad048ef836df30a5fbb2501ac481387781977d6a6baa240aa5e9437baf9
J2_0p28	neel_symmetrized	0.28	6	tensor_best__neel_symmetrized__J2_0p28__D_6.pt	D345678910/neel_symmetrized__J2_0p28_20260512_020019_20260516_131551_20260518_021013_D456/sweep_D6_chi96_best.pt	072a78bd5867e902d619a599a07779bfa025d49099b03bde65622b78413dea49
J2_0p28	neel_symmetrized	0.28	7	tensor_best__neel_symmetrized__J2_0p28__D_7.pt	D345678910/neel_symmetrized__J2_0p28_20260512_020019_20260516_131551_20260518_021013_D456/sweep_D7_chi105_best.pt	dd1b7b4050b5d86437586580eaa5fbd1d058562a3c9057b7bf3b5541a0f6a311
J2_0p28	neel_symmetrized	0.28	8	tensor_best__neel_symmetrized__J2_0p28__D_8.pt	D345678910/neel_symmetrized__J2_0p28_20260512_020019_20260516_131551_20260518_021013_D456/sweep_D8_chi112_best.pt	6aa21e5ca912f0a52ce7fef04ea33b168495bb6be764a97982e32e27ccdda8c9
J2_0p32	neel_symmetrized	0.32	6	tensor_best__neel_symmetrized__J2_0p32__D_6.pt	D345678910/neel_symmetrized__J2_0p32_20260510_192941_20260516_131551_D456/sweep_D6_chi96_best.pt	1b0287731daa9002523dd1608eaa8b19f273e7fc057bee6bae713e740b41920d
J2_0p32	neel_symmetrized	0.32	8	tensor_best__neel_symmetrized__J2_0p32__D_8.pt	D345678910/neel_symmetrized__J2_0p32_20260510_192941_20260516_131551_D456/sweep_D8_chi120_best.pt	1c56360503c574cabb5b0cddfdf89f070193a9aa24e9a6524de6b3315a02677b
J2_0p32	neel_symmetrized	0.32	9	tensor_best__neel_symmetrized__J2_0p32__D_9.pt	D345678910/neel_symmetrized__J2_0p32_20260510_192941_20260516_131551_D456/sweep_D9_chi126_best.pt	0c4b572ab53afe04062966b2283a68c5cced25b91578441bbb93df9e8ecc7d3d
